Title,Review
알테르 에고 (Alter Ego),잔잔해서 좋긴한데 느무 잔잔하네요   이 속도면    화 이상되야 뭐라도 시작할 느낌스    
알테르 에고 (Alter Ego),재미없지는 않지만 로맨스는 언제 나올까요 
알테르 에고 (Alter Ego),이번 작품은 다른작품들 보단 흥미가 덜 하네요    
알테르 에고 (Alter Ego),요즘 이렇게 한회차에 꽉채워 글써주는분들 드문데   역시 작가님의 배경지식이 있어선지 내용이 흥미로워요  호불호 갈릴순 있겠습니다만 저에게는 호 입니다  표지가 너무 이쁘네요
알테르 에고 (Alter Ego),잔잔한 글 좋아해서 재미나게 보고있어요
알테르 에고 (Alter Ego),글이 너무 장황해요  주요 소재라지만 차나 영화 캐릭터에 대해 너무나도 자세히 서술되고 있어서 또 다른 인물들에 대해서도 서술이 너무 낭황해요  그래서 로맨스소설이 아닌 그냥 다른 장르 같아요 
알테르 에고 (Alter Ego),이렇게 활자를 꽉 채워서 작품을 써 주셨네요  중추신경만 자극하는 허접햐 것들도 많은데     차에 대해 문외한인 저도 차 마시기에 도전해 보고 싶네요  믿고 읽는 요안나 작가님 한 편  한 편 잘 읽겠습니다 
알테르 에고 (Alter Ego),차전문가 설명을 끊임없이 듣자니 내가 읽고 있는게 전문서적인가 다큐멘터리인가 에세이인가    주인공 혼자 감정 개념정리하는시간이 엄청 깁니다    너무 서술이 장황해요         이런식이면    화 쓰겠어요
알테르 에고 (Alter Ego),어른스러운 남주와 여주를 보니 뭔가 힐링되는 느낌이라 좋았는데 갑자기 주인공 두명이 아닌 다른 인물들과 영화 캐릭터가 너무 많이 나와서 당황스러워요  저만 그럴까요     
알테르 에고 (Alter Ego),이번작품은 안읽히네요 너무 재미가 없어서 중도하차
알테르 에고 (Alter Ego),함 읽어볼까  하고 시작했다 섬세한 표현에 푹  빠져 정독합니다 
알테르 에고 (Alter Ego),잔잔하면서도 맴을울리네요   
알테르 에고 (Alter Ego),이야기 잔잔하면서 꼼꼼하게 펼쳐져서 너무 재밌고 잘 읽힙니다  어른들 이야기라 유치하지 않아 너무 좋았습니다  무게감 있고 집중됩니다 
알테르 에고 (Alter Ego),의젓하고 성숙한 어른들의 이야기예요 잔잔하게 잘 보고 있어요 
알테르 에고 (Alter Ego),  화까지 봤어요  다정한 어른들의 대화가 기분 좋게 간지러운 글입니다  작가님 신작 런칭 축하드려요  
알테르 에고 (Alter Ego),여주와 남주를 지켜보는 것이 이렇게 참 마음이 다 좋아지네요
